"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product Search","Verify all products page is visible","0","0","1","0","0"
"","Shopping Cart","Add multiple products to cart","0","0","1","0","0"
"","Shopping Cart","Remove item from cart","0","0","1","0","0"
"","User Login","Invalid login with incorrect password","0","0","1","0","0"
"","User Login","Invalid login with various wrong credentials","0","0","1","0","0"
"","Product Search","Search for a product with partial name","0","0","1","0","0"
"","User Registration","Register a new user account successfully","0","0","1","0","0"
"","User Login","Invalid login with incorrect email","0","0","1","0","0"
"","Product Search","Search for a valid product","0","0","1","0","0"
"","Shopping Cart","Add a product to cart","0","0","1","0","0"
"","Shopping Cart","Verify cart item details","0","0","1","0","0"
"","User Login","Valid login with correct credentials","0","0","1","0","0"
